PeakID (cmd=annotatePeaks.pl pc-site.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
0-314	chr13	110632070	110632070	+	0	NA	Intergenic	L1MD3|LINE|L1	-73562	NR_126387	104355146	Hs.508690	NR_126387	ENSG00000231428	LINC00396	-	long intergenic non-protein coding RNA 396	ncRNA
0-187	chr4	3236208	3236208	+	0	NA	intron (NM_002111, intron 61 of 66)	intron (NM_002111, intron 61 of 66)	-9888	NM_001330620	345222	Hs.442291	NM_001012982	ENSG00000188981	MSANTD1	C4orf44	Myb/SANT DNA binding domain containing 1	protein-coding
0-325	chr7	122643505	122643505	+	0	NA	Intergenic	Intergenic	-7751	NM_016945	50833	Hs.272395	NM_016945	ENSG00000128519	TAS2R16	T2R16	taste 2 receptor member 16	protein-coding
0-125	chr5	158483219	158483219	+	0	NA	intron (NM_182708, intron 5 of 14)	intron (NM_182708, intron 5 of 14)	43551	NM_001324101	1879	Hs.573143	NM_024007	ENSG00000164330	EBF1	COE1|EBF|O/E-1|OLF1	early B-cell factor 1	protein-coding
0-78	chr11	11682390	11682390	+	0	NA	Intergenic	Intergenic	-4121	NR_036184	100423026		NR_036184	ENSG00000266645	MIR4299	-	microRNA 4299	ncRNA
0-103	chr4	96041812	96041812	+	0	NA	intron (NM_001256793, intron 4 of 10)	T-rich|Low_complexity|Low_complexity	29170	NM_001256794	658	Hs.598475	NM_001203	ENSG00000138696	BMPR1B	ALK-6|ALK6|AMDD|BDA1D|BDA2|CDw293	bone morphogenetic protein receptor type 1B	protein-coding
0-158	chr4	10036490	10036490	+	0	NA	intron (NM_001001290, intron 1 of 12)	MIRc|SINE|MIR	5382	NM_001001290	56606	Hs.444612	NM_020041	ENSG00000109667	SLC2A9	GLUT9|GLUTX|UAQTL2|URATv1	solute carrier family 2 member 9	protein-coding
0-174	chr3	196152785	196152785	+	0	NA	intron (NM_015562, intron 1 of 10)	L2c|LINE|L2	-5471	NR_046745	100874034	Hs.617990	NR_046745		UBXN7-AS1	-	UBXN7 antisense RNA 1	ncRNA
0-63	chr13	66067019	66067019	+	0	NA	Intergenic	L1PA15|LINE|L1	-373160	NR_132362	105370242	Hs.578051	NR_132362		LINC01052	-	long intergenic non-protein coding RNA 1052	ncRNA
0-387	chr3	190711087	190711087	+	0	NA	Intergenic	PRIMA41-int|LTR|ERV1	115368	NR_024343	100170222	Hs.717310	NR_024343		SNAR-I	snaR-3	small ILF3/NF90-associated RNA I	snRNA
0-102	chr5	36055897	36055897	+	0	NA	intron (NM_001168316, intron 1 of 5)	intron (NM_001168316, intron 1 of 5)	11126	NM_174914	167127	Hs.348941	NM_174914	ENSG00000168671	UGT3A2	-	UDP glycosyltransferase family 3 member A2	protein-coding
0-418	chr5	64732316	64732316	+	0	NA	intron (NM_197941, intron 7 of 24)	L3b|LINE|CR1	45431	NR_135689	11174	Hs.482291	NM_197941	ENSG00000049192	ADAMTS6	ADAM-TS 6|ADAM-TS6|ADAMTS-6	ADAM metallopeptidase with thrombospondin type 1 motif 6	protein-coding
0-24	chr17	29817186	29817186	+	0	NA	intron (NM_001346748, intron 1 of 12)	intron (NM_001346748, intron 1 of 12)	2167	NM_001346748	84440	Hs.406788	NM_032932	ENSG00000131242	RAB11FIP4	FIP4-Rab11|RAB11-FIP4	RAB11 family interacting protein 4	protein-coding
0-361	chr10	81300772	81300772	+	0	NA	Intergenic	LTR8|LTR|ERV1	18855	NM_001320814	729238	Hs.523084	NM_001098668	ENSG00000185303	SFTPA2	COLEC5|PSAP|PSP-A|PSPA|SFTP1|SFTPA2B|SP-2A|SP-A|SPA2|SPAII	surfactant protein A2	protein-coding
0-350	chr4	6048248	6048248	+	0	NA	intron (NM_001099433, intron 16 of 20)	intron (NM_001099433, intron 16 of 20)	-123193	NR_039608	100616201		NR_039608	ENSG00000263631	MIR378D1	mir-378d-1	microRNA 378d-1	ncRNA
0-443	chr13	112569584	112569584	+	0	NA	Intergenic	Intergenic	21774	NR_120401	101928616	Hs.528450	NR_046992		LINC00354	-	long intergenic non-protein coding RNA 354	ncRNA
0-375	chr4	41779256	41779256	+	0	NA	Intergenic	L1MCc|LINE|L1	-28269	NM_003924	8929	Hs.87202	NM_003924	ENSG00000109132	PHOX2B	NBLST2|NBPhox|PMX2B	paired like homeobox 2b	protein-coding
0-460	chr15	99892234	99892234	+	0	NA	intron (NM_001321675, intron 6 of 9)	MER31A|LTR|ERV1	94504	NR_073383	7190	Hs.656611	NR_073383	ENSG00000259706	HSP90B2P	GRP94P1|GRP94b|HSP|HSPCP2|TRA1P1|TRAP1	heat shock protein 90 beta family member 2, pseudogene	pseudo
0-379	chr5	73505625	73505625	+	0	NA	Intergenic	L1MB8|LINE|L1	98525	NR_105009	102503429	Hs.519391	NR_105009	ENSG00000248942	LINC01335	-	long intergenic non-protein coding RNA 1335	ncRNA
0-148	chr2	192427779	192427779	+	0	NA	Intergenic	Intergenic	-115019	NR_045622	64859	Hs.591610	NM_022837	ENSG00000173559	NABP1	OBFC2A|SOSS-B2|SSB2	nucleic acid binding protein 1	protein-coding
0-149	chr2	238594128	238594128	+	0	NA	intron (NM_001137550, intron 1 of 23)	intron (NM_001137550, intron 1 of 23)	-6679	NM_001137553	9208	Hs.471779	NM_004735	ENSG00000124831	LRRFIP1	FLAP-1|FLAP1|FLIIAP1|GCF-2|GCF2|HUFI-1|TRIP	LRR binding FLII interacting protein 1	protein-coding
0-492	chr10	111975354	111975354	+	0	NA	intron (NM_001008541, intron 1 of 4)	intron (NM_001008541, intron 1 of 4)	5365	NM_001008541	4601	Hs.602078	NM_005962	ENSG00000119950	MXI1	MAD2|MXD2|MXI|bHLHc11	MAX interactor 1, dimerization protein	protein-coding
0-71	chr4	176823379	176823379	+	0	NA	intron (NR_048571, intron 1 of 5)	L1MA1|LINE|L1	-89114	NM_201591	2823	Hs.75819	NM_005277	ENSG00000150625	GPM6A	GPM6|M6A	glycoprotein M6A	protein-coding
0-456	chr18	57307341	57307341	+	0	NA	intron (NM_133459, intron 2 of 10)	L1PA15|LINE|L1	57303	NM_133459	147372	Hs.34333	NM_133459	ENSG00000183287	CCBE1	HKLLS1	collagen and calcium binding EGF domains 1	protein-coding
0-203	chr3	116568528	116568528	+	0	NA	TTS (NR_039649)	TTS (NR_039649)	686	NR_039649	100616485		NR_039649	ENSG00000265433	MIR4447	-	microRNA 4447	ncRNA
0-391	chr9	129373680	129373680	+	0	NA	Intergenic	CpG	-3042	NM_002316	4010	Hs.129133	NM_002316	ENSG00000136944	LMX1B	LMX1.2|NPS1	LIM homeobox transcription factor 1 beta	protein-coding
0-175	chr12	22235049	22235049	+	0	NA	Intergenic	Intergenic	35941	NM_018686	55907	Hs.311346	NM_018686	ENSG00000111726	CMAS	CSS	cytidine monophosphate N-acetylneuraminic acid synthetase	protein-coding
0-164	chr6	140529527	140529527	+	0	NA	Intergenic	Intergenic	3138	NR_037441	100500879		NR_037441	ENSG00000263514	MIR3668	-	microRNA 3668	ncRNA
0-273	chr5	172753999	172753999	+	0	NA	intron (NM_003714, intron 1 of 3)	intron (NM_003714, intron 1 of 3)	2507	NM_003714	8614	Hs.233160	NM_003714	ENSG00000113739	STC2	STC-2|STCRP	stanniocalcin 2	protein-coding
0-353	chr8	130020864	130020864	+	0	NA	Intergenic	AluJr4|SINE|Alu	232622	NR_033916	728724	Hs.49902	NR_033916	ENSG00000250400	LINC00977	-	long intergenic non-protein coding RNA 977	ncRNA
0-483	chr1	157037257	157037257	+	0	NA	Intergenic	L1MB4|LINE|L1	-22095	NM_198236	9826	Hs.516954	NM_014784	ENSG00000132694	ARHGEF11	GTRAP48|PDZ-RHOGEF	Rho guanine nucleotide exchange factor 11	protein-coding
0-234	chr2	144194033	144194033	+	0	NA	intron (NM_018460, intron 7 of 13)	intron (NM_018460, intron 7 of 13)	307134	NM_018460	55843	Hs.171011	NM_018460	ENSG00000075884	ARHGAP15	BM046	Rho GTPase activating protein 15	protein-coding
0-422	chr1	3641665	3641665	+	0	NA	intron (NM_001126242, intron 4 of 10)	intron (NM_001126242, intron 4 of 10)	21670	NR_033712	57212	Hs.49658	NM_207306	ENSG00000227372	TP73-AS1	KIAA0495|PDAM	TP73 antisense RNA 1	ncRNA
0-309	chr13	46742774	46742774	+	0	NA	intron (NM_002298, intron 1 of 15)	Plat_L3|LINE|CR1	13685	NM_002298	3936	Hs.381099	NM_002298	ENSG00000136167	LCP1	CP64|HEL-S-37|L-PLASTIN|LC64P|LPL|PLS2	lymphocyte cytosolic protein 1	protein-coding
0-60	chr5	148221968	148221968	+	0	NA	Intergenic	Intergenic	15812	NM_000024	154	Hs.2551	NM_000024	ENSG00000169252	ADRB2	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	adrenoceptor beta 2	protein-coding
0-109	chr4	80885361	80885361	+	0	NA	intron (NM_058172, intron 16 of 16)	intron (NM_058172, intron 16 of 16)	109116	NM_001286781	118429	Hs.162963	NM_058172	ENSG00000163297	ANTXR2	CMG-2|CMG2|HFS|ISH|JHF	anthrax toxin receptor 2	protein-coding
0-107	chr2	21617223	21617223	+	0	NA	Intergenic	Intergenic	270365	NM_001306137	100129278	Hs.651096	NM_001306137	ENSG00000218819	TDRD15	-	tudor domain containing 15	protein-coding
0-382	chr20	8810275	8810275	+	0	NA	intron (NM_182734, intron 32 of 32)	intron (NM_182734, intron 32 of 32)	-239426	NM_001172646	5332	Hs.472101	NM_000933	ENSG00000101333	PLCB4	ARCND2|PI-PLC	phospholipase C beta 4	protein-coding
0-72	chr13	59632169	59632169	+	0	NA	Intergenic	Intergenic	-824918	NR_132367	106144531	Hs.736640	NR_132367	ENSG00000232954	LINC00374	-	long intergenic non-protein coding RNA 374	ncRNA
0-64	chr1	154173058	154173058	+	0	NA	exon (NM_001010979, exon 3 of 4)	exon (NM_001010979, exon 3 of 4)	5783	NM_001010979	388701	Hs.104967	NM_001010979	ENSG00000163263	C1orf189	-	chromosome 1 open reading frame 189	protein-coding
0-271	chr20	10381352	10381352	+	0	NA	Intergenic	AluSp|SINE|Alu	31221	NM_018848	8195	Hs.472119	NM_018848	ENSG00000125863	MKKS	BBS6|HMCS|KMS|MKS	McKusick-Kaufman syndrome	protein-coding
0-373	chr14	34342233	34342233	+	0	NA	Intergenic	MER41-int|LTR|ERV1	77799	NM_001308103	112399	Hs.135507	NM_022073	ENSG00000129521	EGLN3	HIFP4H3|HIFPH3|PHD3	egl-9 family hypoxia inducible factor 3	protein-coding
0-178	chr17	56267210	56267210	+	0	NA	Intergenic	MIRb|SINE|MIR	-2875	NM_000502	8288	Hs.279259	NM_000502	ENSG00000121053	EPX	EPO|EPP|EPX-PEN|EPXD	eosinophil peroxidase	protein-coding
0-135	chr10	28840930	28840930	+	0	NA	intron (NM_016628, intron 3 of 13)	AluSx|SINE|Alu	18509	NM_100486	51322	Hs.743224	NM_016628	ENSG00000095787	WAC	BM-016|DESSH|PRO1741|Wwp4	WW domain containing adaptor with coiled-coil	protein-coding
0-138	chr12	7543648	7543648	+	0	NA	intron (NM_001297650, intron 8 of 19)	L1PA6|LINE|L1	53133	NM_174941	283316	Hs.631727	NM_174941	ENSG00000177675	CD163L1	CD163B|M160|SCARI2	CD163 molecule like 1	protein-coding
0-43	chr6	38724662	38724662	+	0	NA	intron (NM_001206927, intron 10 of 92)	L1PA4|LINE|L1	41545	NM_001206927	1769	Hs.520106	NM_001371	ENSG00000124721	DNAH8	ATPase|hdhc9	dynein axonemal heavy chain 8	protein-coding
0-120	chr12	83138925	83138925	+	0	NA	intron (NM_001320321, intron 1 of 10)	intron (NM_001320321, intron 1 of 10)	57991	NM_001320322	160335	Hs.577775	NM_152588	ENSG00000179104	TMTC2	IBDBP1	transmembrane and tetratricopeptide repeat containing 2	protein-coding
0-347	chr18	70032945	70032945	+	0	NA	Intergenic	L1ME3E|LINE|L1	178778	NM_182511	147381	Hs.569851	NM_182511	ENSG00000141668	CBLN2	-	cerebellin 2 precursor	protein-coding
0-85	chr2	153691308	153691308	+	0	NA	Intergenic	L1ME1|LINE|L1	116901	NM_152522	151188	Hs.643580	NM_152522	ENSG00000177917	ARL6IP6	AIP-6|AIP6|PFAAP1	ADP ribosylation factor like GTPase 6 interacting protein 6	protein-coding
0-67	chr2	1961058	1961058	+	0	NA	intron (NM_001329845, intron 8 of 24)	L1PB2|LINE|L1	-212739	NM_012293	7837	Hs.332197	NM_012293	ENSG00000130508	PXDN	COPOA|D2S448|D2S448E|MG50|PRG2|PXN|VPO	peroxidasin	protein-coding
0-434	chr1	53430025	53430025	+	0	NA	intron (NM_001007098, intron 5 of 10)	AluY|SINE|Alu	24039	NR_039972	100616145		NR_039972	ENSG00000265815	MIR1273G	-	microRNA 1273g	ncRNA
0-437	chr4	168580011	168580011	+	0	NA	Intergenic	THE1B|LTR|ERVL-MaLR	-424270	NM_001040159	50859	Hs.481133	NM_016950	ENSG00000196104	SPOCK3	HSAJ1454|TES-3|TICN3	SPARC/osteonectin, cwcv and kazal like domains proteoglycan 3	protein-coding
0-244	chr12	110647266	110647266	+	0	NA	intron (NR_144952, intron 19 of 19)	intron (NR_144952, intron 19 of 19)	-71766	NM_170665	488	Hs.506759	NM_001681	ENSG00000174437	ATP2A2	ATP2B|DAR|DD|SERCA2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	protein-coding
0-33	chr2	160453767	160453767	+	0	NA	intron (NM_001329857, intron 1 of 36)	L1MD|LINE|L1	-18038	NR_110587	643072	Hs.632541	NR_110587		LOC643072	-	uncharacterized LOC643072	ncRNA
0-447	chr2	31920446	31920446	+	0	NA	Intergenic	LTR9|LTR|ERV1	-114406	NM_000348	6716	Hs.458345	NM_000348	ENSG00000277893	SRD5A2	-	steroid 5 alpha-reductase 2	protein-coding
0-423	chr2	156466210	156466210	+	0	NA	Intergenic	L1ME4a|LINE|L1	645233	NR_110250	101929378	Hs.171192	NR_110249	ENSG00000226383	LINC01876	-	long intergenic non-protein coding RNA 1876	ncRNA
0-461	chr18	36086664	36086664	+	0	NA	Intergenic	LTR78B|LTR|ERV1	849566	NR_036202	100422857		NR_036202	ENSG00000266530	MIR4318	-	microRNA 4318	ncRNA
0-405	chr3	44938232	44938232	+	0	NA	exon (NM_003241, exon 6 of 14)	exon (NM_003241, exon 6 of 14)	22134	NM_003241	7047	Hs.438265	NM_003241	ENSG00000163810	TGM4	TGP|hTGP	transglutaminase 4	protein-coding
0-188	chr8	81259797	81259797	+	0	NA	Intergenic	Intergenic	106173	NR_049894	100847056		NR_049894	ENSG00000265588	MIR5708	-	microRNA 5708	ncRNA
0-359	chr10	52472251	52472251	+	0	NA	Intergenic	Intergenic	-27197	NM_001321958	653308	Hs.659820	NM_001079516	ENSG00000204147	ASAH2B	ASAH2C|ASAH2L|bA449O16.3|bA98I6.3	N-acylsphingosine amidohydrolase 2B	protein-coding
0-128	chr10	46814373	46814373	+	0	NA	Intergenic	Intergenic	-51481	NR_003611	399761	Hs.711898	NM_001040053	ENSG00000204177	BMS1P5	BMS1LP1|BMS1LP5|BMS1P1|bA556L1.3	BMS1, ribosome biogenesis factor pseudogene 5	pseudo
0-206	chr7	12621017	12621017	+	0	NA	intron (NM_001112706, intron 3 of 15)	intron (NM_001112706, intron 3 of 15)	-8131	NM_033128	85477	Hs.633359	NM_033128	ENSG00000006747	SCIN	-	scinderin	protein-coding
0-150	chr15	89177371	89177371	+	0	NA	Intergenic	AluSq2|SINE|Alu	-1497	NM_001303235	3669	Hs.459265	NM_002201	ENSG00000172183	ISG20	CD25|HEM45	interferon stimulated exonuclease gene 20	protein-coding
0-81	chr13	51081910	51081910	+	0	NA	intron (NR_109974, intron 5 of 6)	L1PA4|LINE|L1	19675	NR_125753	103689915	Hs.722230	NR_125753	ENSG00000229323	DLEU1-AS1	LINC01308	DLEU1 antisense RNA 1	ncRNA
0-283	chr8	125712855	125712855	+	0	NA	intron (NM_014751, intron 2 of 13)	intron (NM_014751, intron 2 of 13)	27893	NM_014751	9788	Hs.336994	NM_014751	ENSG00000170873	MTSS1	MIM|MIMA|MIMB	MTSS1, I-BAR domain containing	protein-coding
0-331	chr3	139222542	139222542	+	0	NA	intron (NR_121609, intron 3 of 4)	L1ME5|LINE|L1	-27190	NM_004164	5948	Hs.655516	NM_004164	ENSG00000114113	RBP2	CRABP-II|CRBP2|CRBPII|RBPC2	retinol binding protein 2	protein-coding
0-430	chr9	14694079	14694079	+	0	NA	promoter-TSS (NM_178566)	promoter-TSS (NM_178566)	-599	NM_178566	340481	Hs.649522	NM_178566	ENSG00000175893	ZDHHC21	9130404H11Rik|DHHC-21|DHHC21|DNZ1|HSPC097	zinc finger DHHC-type containing 21	protein-coding
0-444	chr15	53824863	53824863	+	0	NA	intron (NR_102334, intron 18 of 19)	L1MA4|LINE|L1	8186	NR_102336	256764	Hs.122125	NM_182758	ENSG00000166415	WDR72	AI2A3	WD repeat domain 72	protein-coding
0-369	chr21	41157158	41157158	+	0	NA	intron (NM_001080444, intron 5 of 8)	L1P1|LINE|L1	39824	NM_001080444	150084	Hs.422120	NM_001080444	ENSG00000183067	IGSF5	GSF5|JAM4	immunoglobulin superfamily member 5	protein-coding
0-96	chr6	118273244	118273244	+	0	NA	intron (NM_001029858, intron 1 of 7)	intron (NM_001029858, intron 1 of 7)	44555	NM_001029858	222553	Hs.654841	NM_001029858	ENSG00000196376	SLC35F1	C6orf169|dJ230I3.1	solute carrier family 35 member F1	protein-coding
0-157	chr3	170658362	170658362	+	0	NA	Intergenic	Intergenic	-31936	NM_020390	56648	Hs.164144	NM_020390	ENSG00000163577	EIF5A2	EIF-5A2|eIF5AII	eukaryotic translation initiation factor 5A2	protein-coding
0-476	chr2	183080542	183080542	+	0	NA	intron (NM_001003683, intron 8 of 14)	L1PA3|LINE|L1	26248	NM_001258314	5136	Hs.191046	NM_005019	ENSG00000115252	PDE1A	CAM-PDE-1A|HCAM-1|HCAM1|HSPDE1A	phosphodiesterase 1A	protein-coding
0-462	chr2	152430503	152430503	+	0	NA	intron (NM_001164507, intron 107 of 181)	AluY|SINE|Alu	160498	NM_001164507	4703	Hs.588655	NM_004543	ENSG00000183091	NEB	NEB177D|NEM2	nebulin	protein-coding
0-161	chr10	78594066	78594066	+	0	NA	Intergenic	Intergenic	-53736	NR_120655	101929328	Hs.664552	NR_120655	ENSG00000236467	KCNMA1-AS1	-	KCNMA1 antisense RNA 1	ncRNA
0-390	chr2	178625739	178625739	+	0	NA	intron (NM_001077358, intron 9 of 18)	intron (NM_001077358, intron 9 of 18)	87689	NR_136171	105373764	Hs.666361	NR_136171	ENSG00000229941	LOC105373764	-	uncharacterized LOC105373764	ncRNA
0-321	chr7	41192928	41192928	+	0	NA	Intergenic	L3|LINE|CR1	51726	NR_110832	101928773	Hs.382363	NR_110832	ENSG00000224017	LINC01449	-	long intergenic non-protein coding RNA 1449	ncRNA
0-318	chr6	121142051	121142051	+	0	NA	Intergenic	L1PA3|LINE|L1	513595	NR_104452	221322	Hs.121396	NM_152730	ENSG00000146350	TBC1D32	BROMI|C6orf170|C6orf171|bA301B7.2|bA57L9.1|dJ310J6.1	TBC1 domain family member 32	protein-coding
0-454	chr10	63601603	63601603	+	0	NA	Intergenic	L2a|LINE|L2	-59410	NM_032199	84159	Hs.535297	NM_032199	ENSG00000150347	ARID5B	DESRT|MRF-2|MRF2	AT-rich interaction domain 5B	protein-coding
0-189	chr3	174101262	174101262	+	0	NA	Intergenic	Intergenic	-462676	NR_046664	100874010	Hs.624265	NR_046664	ENSG00000228213	NLGN1-AS1	-	NLGN1 antisense RNA 1	ncRNA
0-425	chr8	118206329	118206329	+	0	NA	Intergenic	L1PA3|LINE|L1	58992	NM_173851	169026	Hs.532270	NM_173851	ENSG00000164756	SLC30A8	ZNT8|ZnT-8	solute carrier family 30 member 8	protein-coding
0-388	chr11	11346069	11346069	+	0	NA	intron (NM_198516, intron 9 of 10)	L1ME3|LINE|L1	28835	NM_001256686	283106	Hs.654675	NM_001256686	ENSG00000254598	CSNK2A3	CSNK2A1P	casein kinase 2 alpha 3	protein-coding
0-409	chr4	183313129	183313129	+	0	NA	intron (NM_001080477, intron 3 of 27)	intron (NM_001080477, intron 3 of 27)	148545	NM_001080477	55714	Hs.130438	NM_001080477	ENSG00000218336	TENM3	MCOPCB9|ODZ3|TNM3|Ten-m3|ten-3	teneurin transmembrane protein 3	protein-coding
0-95	chr6	108707501	108707501	+	0	NA	intron (NR_136553, intron 3 of 8)	AluSq2|SINE|Alu	91423	NR_136553	246269	Hs.259666	NM_145315	ENSG00000135537	LACE1	AFG1|c222389	lactation elevated 1	protein-coding
0-284	chr15	62929770	62929770	+	0	NA	non-coding (NR_026897, exon 3 of 3)	non-coding (NR_026897, exon 3 of 3)	7610	NR_026897	197003	Hs.352253	NM_152648	ENSG00000259458	MGC15885	-	uncharacterized protein MGC15885	ncRNA
0-233	chr6	125161792	125161792	+	0	NA	Intergenic	L1HS|LINE|L1	-121899	NR_136734	154214	Hs.12876	NM_152553	ENSG00000146373	RNF217	C6orf172|IBRDC1|OSTL|dJ84N20.1	ring finger protein 217	protein-coding
0-481	chr1	116302703	116302703	+	0	NA	intron (NM_001232, intron 1 of 10)	intron (NM_001232, intron 1 of 10)	8723	NM_001232	845	Hs.57975	NM_001232	ENSG00000118729	CASQ2	PDIB2	calsequestrin 2	protein-coding
0-41	chr1	219480960	219480960	+	0	NA	Intergenic	Intergenic	132649	NM_001300772	127018	Hs.657617	NM_138794	ENSG00000143353	LYPLAL1	Q96AV0	lysophospholipase like 1	protein-coding
0-317	chr2	88172763	88172763	+	0	NA	intron (NM_001024457, intron 1 of 22).2	L1PA11|LINE|L1	-47477	NM_001078170	729857	Hs.652430	NM_001078170	ENSG00000185304	RGPD2	NUP358|RANBP2L2|RGP2	RANBP2-like and GRIP domain containing 2	protein-coding
0-330	chr5	133889723	133889723	+	0	NA	intron (NM_015288, intron 4 of 10)	intron (NM_015288, intron 4 of 10)	27925	NM_015288	23338	Hs.732155	NM_015288	ENSG00000043143	JADE2	JADE-2|PHF15	jade family PHD finger 2	protein-coding
0-25	chr8	126012913	126012913	+	0	NA	intron (NM_003129, intron 1 of 10)	AluSz|SINE|Alu	2193	NM_003129	6713	Hs.71465	NM_003129	ENSG00000104549	SQLE	-	squalene epoxidase	protein-coding
0-230	chr1	32420484	32420484	+	0	NA	Intergenic	Intergenic	-16496	NM_080391	8073	Hs.470477	NM_003479	ENSG00000184007	PTP4A2	HH13|HH7-2|HU-PP-1|OV-1|PRL-2|PRL2|PTP4A|PTPCAAX2|ptp-IV1a|ptp-IV1b	protein tyrosine phosphatase type IVA, member 2	protein-coding
0-356	chr12	79456439	79456439	+	0	NA	intron (NM_001135806, intron 2 of 9)	intron (NM_001135806, intron 2 of 9)	17006	NM_001135806	6857	Hs.310545	NM_005639	ENSG00000067715	SYT1	P65|SVP65|SYT	synaptotagmin 1	protein-coding
0-238	chr13	81169126	81169126	+	0	NA	Intergenic	L1PB1|LINE|L1	-253876	NM_005842	10253	Hs.18676	NM_005842	ENSG00000136158	SPRY2	IGAN3|hSPRY2	sprouty RTK signaling antagonist 2	protein-coding
0-250	chr10	14738742	14738742	+	0	NA	intron (NM_031453, intron 1 of 4)	intron (NM_031453, intron 1 of 4)	78154	NM_031453	83641	Hs.446315	NM_031453	ENSG00000065809	FAM107B	C10orf45|HITS	family with sequence similarity 107 member B	protein-coding
0-371	chr2	51649090	51649090	+	0	NA	intron (NR_135237, intron 4 of 10)	intron (NR_135237, intron 4 of 10)	389351	NR_135237	730100	Hs.640140	NR_135237	ENSG00000231918	LOC730100	-	uncharacterized LOC730100	ncRNA
0-370	chr13	59658160	59658160	+	0	NA	Intergenic	Intergenic	-850909	NR_132367	106144531	Hs.736640	NR_132367	ENSG00000232954	LINC00374	-	long intergenic non-protein coding RNA 374	ncRNA
0-46	chr1	145944689	145944689	+	0	NA	intron (NR_111936, intron 1 of 9)	CpG	788	NR_111936	100034743	Hs.696575	NR_003377		PDZK1P1	OTTHUMT00000038524|PDZK1P2	PDZ domain containing 1 pseudogene 1	pseudo
0-315	chr3	44841951	44841951	+	0	NA	intron (NM_020242, intron 11 of 34)	intron (NM_020242, intron 11 of 34)	38742	NM_020242	56992	Hs.658939	NM_020242	ENSG00000163808	KIF15	HKLP2|KNSL7|NY-BR-62	kinesin family member 15	protein-coding
0-449	chr20	8561525	8561525	+	0	NA	intron (NM_182734, intron 3 of 32)	L2b|LINE|L2	332174	NR_046809	100874337	Hs.662218	NR_046809		PLCB1-IT1	-	PLCB1 intronic transcript 1	ncRNA
0-45	chr9	8848668	8848668	+	0	NA	intron (NM_002839, intron 11 of 45)	intron (NM_002839, intron 11 of 45)	-9350	NR_121600	101929407	Hs.649971	NR_121599		PTPRD-AS1	-	PTPRD antisense RNA 1	ncRNA
0-184	chr15	39542393	39542393	+	0	NA	promoter-TSS (NM_001302797)	promoter-TSS (NM_001302797)	-477	NM_001302797	400360	Hs.376109	NM_207445		C15orf54	-	chromosome 15 open reading frame 54	ncRNA
0-262	chr11	87323656	87323656	+	0	NA	Intergenic	MIRc|SINE|MIR	106647	NR_135090	105369423	Hs.125442	NR_135090	ENSG00000255183	LOC105369423	-	uncharacterized LOC105369423	ncRNA
0-224	chr11	121394814	121394814	+	0	NA	intron (NM_003105, intron 11 of 47)	intron (NM_003105, intron 11 of 47)	71902	NM_003105	6653	Hs.368592	NM_003105	ENSG00000137642	SORL1	C11orf32|LR11|LRP9|SORLA|SorLA-1|gp250	sortilin related receptor 1	protein-coding
0-452	chr3	9335322	9335322	+	0	NA	Intergenic	L1PA12|LINE|L1	-43953	NM_001033117	9901	Hs.654743	NM_014850	ENSG00000196220	SRGAP3	ARHGAP14|MEGAP|SRGAP2|WRP	SLIT-ROBO Rho GTPase activating protein 3	protein-coding
0-277	chr2	168745534	168745534	+	0	NA	intron (NR_131227, intron 2 of 4)	L1PB1|LINE|L1	52120	NR_131227	105616981	Hs.512811	NR_131227		LOC105616981	-	uncharacterized LOC105616981	ncRNA
0-160	chr8	141662015	141662015	+	0	NA	Intergenic	Intergenic	-16369	NM_001164623	27161	Hs.743313	NM_012154	ENSG00000123908	AGO2	EIF2C2|Q10	argonaute 2, RISC catalytic component	protein-coding
0-98	chr6	6633281	6633281	+	0	NA	intron (NM_004271, intron 3 of 4)	intron (NM_004271, intron 3 of 4)	-10222	NR_026970	285780	Hs.655737	NM_173675	ENSG00000216863	LY86-AS1	LY86-AS|LY86AS	LY86 antisense RNA 1	ncRNA
0-106	chr14	22658227	22658227	+	0	NA	Intergenic	Intergenic	399916	NM_001344	1603	Hs.82890	NM_001344	ENSG00000129562	DAD1	OST2	defender against cell death 1	protein-coding
0-428	chr1	67512626	67512626	+	0	NA	intron (NM_015139, intron 7 of 11)	intron (NM_015139, intron 7 of 11)	7454	NM_015139	23169	Hs.213642	NM_015139	ENSG00000116704	SLC35D1	UGTREL7	solute carrier family 35 member D1	protein-coding
0-442	chr1	165731121	165731121	+	0	NA	intron (NR_045818, intron 2 of 6)	AluJb|SINE|Alu	7038	NM_001256165	54499	Hs.31498	NM_019026	ENSG00000143183	TMCO1	HP10122|PCIA3|PNAS-136|TMCC4	transmembrane and coiled-coil domains 1	protein-coding
0-413	chr3	120142445	120142445	+	0	NA	intron (NM_007085, intron 2 of 10)	intron (NM_007085, intron 2 of 10)	27473	NM_007085	11167	Hs.269512	NM_007085	ENSG00000163430	FSTL1	FRP|FSL1|MIR198|OCC-1|OCC1|tsc36	follistatin like 1	protein-coding
