Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr10	5411900	5411900	+	0	NA	"intron (NM_053049, intron 1 of 1)"	(TG)n|Simple_repeat|Simple_repeat	4928	NM_053049	114131	Hs.511775	NM_053049	ENSG00000178473	UCN3	SCP|SPC|UCNIII	urocortin 3	protein-coding
chr10	3565600	3565600	+	0	NA	"intron (NR_131187, intron 1 of 1)"	"intron (NR_131187, intron 1 of 1)"	204713	NR_131187	105376360	Hs.212226	NR_131187		LOC105376360	-	uncharacterized LOC105376360	ncRNA
chr10	101795417	101795417	+	0	NA	Intergenic	MER4A|LTR|ERV1	-25707	NM_015221	23268	Hs.500771	NM_015221	ENSG00000107554	DNMBP	ARHGEF36|TUBA	dynamin binding protein	protein-coding
chr10	127995308	127995308	+	0	NA	"intron (NM_003474, intron 2 of 22)"	L1MEg|LINE|L1	81819	NM_003474	8038	Hs.594351	NM_003474	ENSG00000148848	ADAM12	ADAM12-OT1|CAR10|MCMP|MCMPMltna|MLTN|MLTNA	ADAM metallopeptidase domain 12	protein-coding
chr1	57814950	57814950	+	0	NA	"intron (NM_021080, intron 3 of 16)"	"intron (NM_021080, intron 3 of 16)"	-383137	NM_001278544	732	Hs.391835	NM_000066	ENSG00000021852	C8B	C82	complement C8 beta chain	protein-coding
chr1	45130178	45130178	+	0	NA	"intron (NM_024587, intron 1 of 2)"	MIR|SINE|MIR	10102	NM_001300748	79639	Hs.22157	NM_024587	ENSG00000126106	TMEM53	NET4	transmembrane protein 53	protein-coding
chr1	9334465	9334465	+	0	NA	Intergenic	AluSx1|SINE|Alu	-18476	NM_025106	80176	Hs.8261	NM_025106	ENSG00000171621	SPSB1	SSB-1|SSB1	splA/ryanodine receptor domain and SOCS box containing 1	protein-coding
chr1	182212014	182212014	+	0	NA	"intron (NR_104175, intron 2 of 2)"	"intron (NR_104175, intron 2 of 2)"	71182	NR_104175	400799	Hs.634884	NR_104175	ENSG00000228918	LINC01344	GS1-122H1.2	long intergenic non-protein coding RNA 1344	ncRNA
chr10	62082247	62082247	+	0	NA	"intron (NM_001204403, intron 2 of 43)"	AT_rich|Low_complexity|Low_complexity	67495	NM_020987	288	Hs.499725	NM_001149	ENSG00000151150	ANK3	ANKYRIN-G|MRT37	ankyrin 3	protein-coding
chr1	46490453	46490453	+	0	NA	"intron (NM_001324321, intron 15 of 28)"	"intron (NM_001324321, intron 15 of 28)"	105892	NM_001328651	8503	Hs.655387	NM_003629	ENSG00000117461	PIK3R3	p55|p55-GAMMA|p55PIK	phosphoinositide-3-kinase regulatory subunit 3	protein-coding
chr1	201254154	201254154	+	0	NA	"intron (NM_001005337, intron 1 of 13)"	"intron (NM_001005337, intron 1 of 13)"	1574	NM_001005337	5317	Hs.497350	NM_000299	ENSG00000081277	PKP1	B6P	plakophilin 1	protein-coding
chr1	161329153	161329153	+	0	NA	"intron (NM_001035512, intron 4 of 4)"	"intron (NM_001035512, intron 4 of 4)"	8520	NM_001013625	257177	Hs.534593	NM_001013625	ENSG00000188931	CFAP126	C1orf192|Flattop|Fltp	cilia and flagella associated protein 126	protein-coding
chr1	43993508	43993508	+	0	NA	"intron (NM_001329138, intron 1 of 36)"	"intron (NM_001329138, intron 1 of 36)"	1800	NM_001329138	5792	Hs.272062	NM_002840	ENSG00000142949	PTPRF	BNAH2|LAR	"protein tyrosine phosphatase, receptor type F"	protein-coding
chr1	169335969	169335969	+	0	NA	"intron (NR_104229, intron 1 of 12)"	"intron (NR_104229, intron 1 of 12)"	-1148	NM_001320972	8548	Hs.130746	NM_003666	ENSG00000117475	BLZF1	GOLGIN-45|JEM-1|JEM-1s|JEM1	basic leucine zipper nuclear factor 1	protein-coding
chr1	199968279	199968279	+	0	NA	Intergenic	AluSp|SINE|Alu	-28451	NM_205860	2494	Hs.33446	NM_003822	ENSG00000116833	NR5A2	B1F|B1F2|CPF|FTF|FTZ-F1|FTZ-F1beta|LRH-1|LRH1|hB1F-2	nuclear receptor subfamily 5 group A member 2	protein-coding
chr1	46417982	46417982	+	0	NA	"intron (NM_001324321, intron 3 of 28)"	L1MB7|LINE|L1	87962	NM_001324321	23139	Hs.319481	NM_015112	ENSG00000086015	MAST2	MAST205|MTSSK	microtubule associated serine/threonine kinase 2	protein-coding
chr1	150427525	150427525	+	0	NA	"intron (NM_001297674, intron 6 of 9)"	L1MC3|LINE|L1	-32315	NR_073514	80222	Hs.288974	NM_025150	ENSG00000143374	TARS2	COXPD21|TARSL1|thrRS	"threonyl-tRNA synthetase 2, mitochondrial (putative)"	protein-coding
chr1	54145540	54145540	+	0	NA	"intron (NM_147193, intron 1 of 9)"	"intron (NM_147193, intron 1 of 9)"	54337	NM_147193	148979	Hs.306691	NM_147193	ENSG00000174332	GLIS1	-	GLIS family zinc finger 1	protein-coding
chr1	247296635	247296635	+	0	NA	"intron (NM_001243740, intron 3 of 3)"	L1PA8A|LINE|L1	-20916	NM_207401	388759	Hs.456511	NM_207401		C1orf229	-	chromosome 1 open reading frame 229	protein-coding
chr1	168327959	168327959	+	0	NA	Intergenic	L1PA7|LINE|L1	-16803	NR_030284	693142		NR_030284	ENSG00000207974	MIR557	MIRN557|hsa-mir-557	microRNA 557	ncRNA
chr1	86110618	86110618	+	0	NA	Intergenic	L1PA3|LINE|L1	63498	NM_017953	54680	Hs.5111	NM_017953	ENSG00000117174	ZNHIT6	BCD1|C1orf181|NY-BR-75	zinc finger HIT-type containing 6	protein-coding
chr1	107405606	107405606	+	0	NA	Intergenic	Intergenic	-193661	NM_018137	55170	Hs.26006	NM_018137	ENSG00000198890	PRMT6	HRMT1L6	protein arginine methyltransferase 6	protein-coding
chr10	32362575	32362575	+	0	NA	Intergenic	Intergenic	-17204	NM_004521	3799	Hs.327736	NM_004521	ENSG00000170759	KIF5B	HEL-S-61|KINH|KNS|KNS1|UKHC	kinesin family member 5B	protein-coding
chr11	104129083	104129083	+	0	NA	Intergenic	(CA)n|Simple_repeat|Simple_repeat	5764	NR_106987	102465752		NR_106987	ENSG00000280773	MIR7641-1	hsa-mir-7641-1	microRNA 7641-1	ncRNA
chr10	133310647	133310647	+	0	NA	Intergenic	Intergenic	-200663	NM_174937	256536	Hs.126575	NM_174937	ENSG00000176769	TCERG1L	-	transcription elongation regulator 1 like	protein-coding
chr10	58480175	58480175	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	-359141	NM_001005413	11130	Hs.591363	NM_007057	ENSG00000122952	ZWINT	HZwint-1|KNTC2AP|SIP30|ZWINT1	ZW10 interacting kinetochore protein	protein-coding
chr1	51468946	51468946	+	0	NA	Intergenic	L2|LINE|L2	33304	NM_078626	1031	Hs.525324	NM_001262	ENSG00000123080	CDKN2C	INK4C|p18|p18-INK4C	cyclin dependent kinase inhibitor 2C	protein-coding
chr1	166089861	166089861	+	0	NA	"intron (NM_001017961, intron 1 of 1)"	"intron (NM_001017961, intron 1 of 1)"	34174	NR_030626	100126349		NR_030626	ENSG00000215952	MIR921	MIRN921|hsa-mir-921	microRNA 921	ncRNA
chr1	160162593	160162593	+	0	NA	"exon (NM_001231, exon 2 of 11)"	"exon (NM_001231, exon 2 of 11)"	2308	NM_001231	844	Hs.632476	NM_001231	ENSG00000143318	CASQ1	CASQ|PDIB1|VMCQA	calsequestrin 1	protein-coding
chr1	223742381	223742381	+	0	NA	"intron (NM_001143962, intron 10 of 16)"	CpG	111055	NM_001143962	388743	Hs.291487	NM_001143962	ENSG00000203697	CAPN8	nCL-2	calpain 8	protein-coding
chr1	84766792	84766792	+	0	NA	promoter-TSS (NM_001134663)	promoter-TSS (NM_001134663)	-497	NM_001134663	148418	Hs.591445	NM_001010971	ENSG00000203943	SAMD13	HSD-41|HSD-42	sterile alpha motif domain containing 13	protein-coding
chr10	121827163	121827163	+	0	NA	Intergenic	Intergenic	109138	NR_039830	100616322		NR_039830	ENSG00000265370	MIR4682	-	microRNA 4682	ncRNA
chr1	15924115	15924115	+	0	NA	Intergenic	Intergenic	-12510	NM_024758	79814	Hs.461532	NM_024758	ENSG00000116771	AGMAT	-	agmatinase	protein-coding
chr10	102181494	102181494	+	0	NA	Intergenic	AluJb|SINE|Alu	-41318	NM_003393	7479	Hs.421281	NM_003393	ENSG00000075290	WNT8B	-	Wnt family member 8B	protein-coding
chr1	62747692	62747692	+	0	NA	"intron (NM_181712, intron 1 of 9)"	"intron (NM_181712, intron 1 of 9)"	37391	NM_181712	163782	Hs.283398	NM_181712	ENSG00000132854	KANK4	ANKRD38|dJ1078M7.1	KN motif and ankyrin repeat domains 4	protein-coding
chr10	60302922	60302922	+	0	NA	"intron (NM_001080512, intron 1 of 20)"	L1MB2|LINE|L1	30018	NM_001080512	80114	Hs.100261	NM_001080512	ENSG00000122870	BICC1	BICC|CYSRD	BicC family RNA binding protein 1	protein-coding
chr1	238032853	238032853	+	0	NA	"intron (NR_027247, intron 3 of 11)"	"intron (NR_027247, intron 3 of 11)"	7378	NR_027247	100130331	Hs.661736	NR_027247	ENSG00000237250	LOC100130331	-	"POTE ankyrin domain family, member F pseudogene"	pseudo
chr10	36211362	36211362	+	0	NA	Intergenic	Intergenic	144132	NR_110138	102578074		NR_110138	ENSG00000280719	PCAT5	LINC01452|TPCAT-10-36067	prostate cancer associated transcript 5 (non-protein coding)	ncRNA
chr10	34334549	34334549	+	0	NA	Intergenic	L1PA10|LINE|L1	-272941	NR_038932	100505583	Hs.568804	NR_038932	ENSG00000261683	LINC00838	-	long intergenic non-protein coding RNA 838	ncRNA
chr1	29021606	29021606	+	0	NA	"intron (NM_024482, intron 5 of 9)"	AluSz|SINE|Alu	26366	NM_001319674	10691	Hs.632373	NM_006582	ENSG00000162419	GMEB1	P96PIF|PIF96	glucocorticoid modulatory element binding protein 1	protein-coding
chr1	184037722	184037722	+	0	NA	"intron (NR_125335, intron 4 of 5)"	"intron (NR_125335, intron 4 of 5)"	16937	NM_001300764	116461	Hs.548197	NM_052965	ENSG00000198860	TSEN15	C1orf19|PCH2F|sen15	tRNA splicing endonuclease subunit 15	protein-coding
chr1	178964296	178964296	+	0	NA	Intergenic	Intergenic	-30643	NM_001324310	9917	Hs.5737	NM_014864	ENSG00000116199	FAM20B	gxk1	"FAM20B, glycosaminoglycan xylosylkinase"	protein-coding
chr1	9493366	9493366	+	0	NA	Intergenic	Intergenic	-4311	NR_104622	100506022	Hs.131775	NR_104622		LOC100506022	-	uncharacterized LOC100506022	ncRNA
chr1	6034147	6034147	+	0	NA	"intron (NM_001291594, intron 1 of 25)"	"intron (NM_001291594, intron 1 of 25)"	-18211	NM_001199861	8514	Hs.440497	NM_003636	ENSG00000069424	KCNAB2	AKR6A5|HKvbeta2|HKvbeta2.1|HKvbeta2.2|KCNA2B|KV-BETA-2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	protein-coding
chr1	228352737	228352737	+	0	NA	promoter-TSS (NR_103539)	promoter-TSS (NR_103539)	-188	NR_103539	574432	Hs.568467	NR_103539	ENSG00000203684	IBA57-AS1	C1orf148	IBA57 antisense RNA 1 (head to head)	ncRNA
chr1	152515856	152515856	+	0	NA	Intergenic	LTR1|LTR|ERV1	23373	NM_178435	353145	Hs.490208	NM_178435	ENSG00000185966	LCE3E	LEP17	late cornified envelope 3E	protein-coding
chr1	32294608	32294608	+	0	NA	Intergenic	Intergenic	-12956	NM_001281988	90853	Hs.62604	NM_144569	ENSG00000134668	SPOCD1	PPP1R146	SPOC domain containing 1	protein-coding
chr1	222370143	222370143	+	0	NA	Intergenic	Intergenic	351301	NM_024746	79802	Hs.665660	NM_024746	ENSG00000143512	HHIPL2	KIAA1822L	HHIP like 2	protein-coding
chr11	112973767	112973767	+	0	NA	"intron (NM_001076682, intron 2 of 19)"	"intron (NM_001076682, intron 2 of 19)"	-139585	NR_120563	101928847	Hs.711235	NR_120563	ENSG00000247416	LOC101928847	-	uncharacterized LOC101928847	ncRNA
chr1	55907894	55907894	+	0	NA	Intergenic	MIR3|SINE|MIR	216580	NR_039618	100616272		NR_039618	ENSG00000265822	MIR4422	mir-4422	microRNA 4422	ncRNA
chr10	6065257	6065257	+	0	NA	"intron (NM_000417, intron 3 of 7)"	"intron (NM_000417, intron 3 of 7)"	39076	NM_000417	3559	Hs.231367	NM_000417	ENSG00000134460	IL2RA	CD25|IDDM10|IL2R|IMD41|TCGFR|p55	interleukin 2 receptor subunit alpha	protein-coding
chr1	69382356	69382356	+	0	NA	Intergenic	Intergenic	-419452	NM_017779	55635	Hs.445098	NM_017779	ENSG00000024526	DEPDC1	DEP.8|DEPDC1-V2|DEPDC1A|SDP35	DEP domain containing 1	protein-coding
chr1	27471614	27471614	+	0	NA	"intron (NM_003047, intron 1 of 11)"	L2a|LINE|L2	10007	NM_003047	6548	Hs.469116	NM_003047	ENSG00000090020	SLC9A1	APNH|LIKNS|NHE-1|NHE1|PPP1R143	solute carrier family 9 member A1	protein-coding
chr1	246704299	246704299	+	0	NA	"3' UTR (NM_022366, exon 8 of 8)"	"3' UTR (NM_022366, exon 8 of 8)"	-16710	NR_040002	255654	Hs.407570	NR_040002	ENSG00000242042	LINC01743	-	long intergenic non-protein coding RNA 1743	ncRNA
chr1	50490159	50490159	+	0	NA	promoter-TSS (NM_001323575)	promoter-TSS (NM_001323575)	-533	NR_136623	84871	Hs.551844	NM_032785	ENSG00000186094	AGBL4	CCP6	ATP/GTP binding protein like 4	protein-coding
chr10	13274486	13274486	+	0	NA	"intron (NM_001303119, intron 1 of 2)"	"intron (NM_001303119, intron 1 of 2)"	1842	NM_001303119	221044	Hs.112998	NM_145314	ENSG00000165623	UCMA	C10orf49|GRP|GRP/UCMA	upper zone of growth plate and cartilage matrix associated	protein-coding
chr1	198153935	198153935	+	0	NA	"intron (NM_133494, intron 1 of 9)"	AluJb|SINE|Alu	27827	NM_133494	140609	Hs.24119	NM_133494	ENSG00000151414	NEK7	-	NIMA related kinase 7	protein-coding
chr10	59134835	59134835	+	0	NA	Intergenic	Intergenic	-70516	NR_037490	100500834		NR_037490	ENSG00000264747	MIR3924	-	microRNA 3924	ncRNA
chr1	214241988	214241988	+	0	NA	Intergenic	Intergenic	80144	NM_002763	5629	Hs.741808	NM_002763	ENSG00000117707	PROX1	-	prospero homeobox 1	protein-coding
chr10	16581729	16581729	+	0	NA	Intergenic	Intergenic	-17725	NM_001010908	389941	Hs.676792	NM_001010908	ENSG00000165985	C1QL3	C1QTNF13|C1ql|CTRP13|K100	complement C1q like 3	protein-coding
chr10	55794227	55794227	+	0	NA	"intron (NM_001142765, intron 16 of 31)"	"intron (NM_001142765, intron 16 of 31)"	-451763	NR_134503	105378311	Hs.623892	NR_134503	ENSG00000234173	LOC105378311	-	uncharacterized LOC105378311	ncRNA
chr10	78398930	78398930	+	0	NA	Intergenic	(TA)n|Simple_repeat|Simple_repeat	-248872	NR_120655	101929328	Hs.664552	NR_120655	ENSG00000236467	KCNMA1-AS1	-	KCNMA1 antisense RNA 1	ncRNA
chr10	85311502	85311502	+	0	NA	Intergenic	L1MB7|LINE|L1	125343	NR_134317	105378397	Hs.147725	NR_134317		LOC105378397	-	uncharacterized LOC105378397	ncRNA
chr10	7849744	7849744	+	0	NA	TTS (NM_001320886)	TTS (NM_001320886)	-10723	NM_031923	83860	Hs.527688	NM_031923	ENSG00000165632	TAF3	TAF140|TAFII-140|TAFII140	TATA-box binding protein associated factor 3	protein-coding
chr10	128313918	128313918	+	0	NA	Intergenic	MER103C|DNA|hAT-Charlie	-103908	NM_001004298	118611	Hs.587663	NM_001004298	ENSG00000154493	C10orf90	FATS|bA422P15.2	chromosome 10 open reading frame 90	protein-coding
chr10	9924014	9924014	+	0	NA	Intergenic	Intergenic	-176671	NR_120636	101928298	Hs.385576	NR_120636	ENSG00000224788	LOC101928298	-	uncharacterized LOC101928298	ncRNA
chr10	34592702	34592702	+	0	NA	"intron (NM_001184785, intron 20 of 24)"	"intron (NM_001184785, intron 20 of 24)"	511551	NM_001184785	56288	Hs.131489	NM_019619	ENSG00000148498	PARD3	ASIP|Baz|PAR3|PAR3alpha|PARD-3|PARD3A|PPP1R118|SE2-5L16|SE2-5LT1|SE2-5T2	par-3 family cell polarity regulator	protein-coding
chr10	43776942	43776942	+	0	NA	Intergenic	AluSx1|SINE|Alu	-14575	NM_145313	221002	Hs.125293	NM_145313	ENSG00000198915	RASGEF1A	CG4853	RasGEF domain family member 1A	protein-coding
chr1	122634189	122634189	+	0	NA	Intergenic	Intergenic	1373279	NR_003955	647121	Hs.697682	NR_003955	ENSG00000231752	EMBP1	-	embigin pseudogene 1	pseudo
chr10	24616074	24616074	+	0	NA	"intron (NM_001098500, intron 3 of 18)"	"intron (NM_001098500, intron 3 of 18)"	51460	NR_030334	693188		NR_030334	ENSG00000207930	MIR603	MIRN603|hsa-mir-603	microRNA 603	ncRNA
chr10	47083993	47083993	+	0	NA	"intron (NM_001278794, intron 1 of 1)"	"intron (NM_001278794, intron 1 of 1)"	459	NM_001278794	5540	Hs.524719	NM_005972	ENSG00000204174	NPY4R	NPY4-R|PP1|PPYR1|Y4	neuropeptide Y receptor Y4	protein-coding
chr1	201256812	201256812	+	0	NA	"intron (NM_001005337, intron 1 of 13)"	"intron (NM_001005337, intron 1 of 13)"	4232	NM_001005337	5317	Hs.497350	NM_000299	ENSG00000081277	PKP1	B6P	plakophilin 1	protein-coding
chr1	24173163	24173163	+	0	NA	"intron (NM_000147, intron 6 of 7)"	AluSq|SINE|Alu	-21214	NM_001166059	3155	Hs.533444	NM_000191	ENSG00000117305	HMGCL	HL	3-hydroxymethyl-3-methylglutaryl-CoA lyase	protein-coding
chr1	148244265	148244265	+	0	NA	"intron (NM_001037501, intron 6 of 19)"	LOR1a|LTR|ERV1	-41729	NM_001144032	730262		NM_001144032	ENSG00000271567	PPIAL4E	COAS2	peptidylprolyl isomerase A like 4E	protein-coding
chr1	94819976	94819976	+	0	NA	Intergenic	MLT1L|LTR|ERVL-MaLR	-63957	NM_002858	5825	Hs.700576	NM_002858	ENSG00000117528	ABCD3	ABC43|CBAS5|PMP70|PXMP1|ZWS2	ATP binding cassette subfamily D member 3	protein-coding
chr1	8060765	8060765	+	0	NA	Intergenic	AluSq|SINE|Alu	25628	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding
chr10	103915423	103915423	+	0	NA	"intron (NM_004741, intron 1 of 12)"	AluSx3|SINE|Alu	3490	NM_001284388	9221	Hs.523238	NM_004741	ENSG00000166197	NOLC1	NOPP130|NOPP140|NS5ATP13|P130	nucleolar and coiled-body phosphoprotein 1	protein-coding
chr1	47556453	47556453	+	0	NA	"intron (NM_178134, intron 6 of 11)"	HUERS-P3b-int|LTR|ERV1	23293	NM_178134	199974	Hs.176588	NM_178134	ENSG00000186160	CYP4Z1	CYP4A20	cytochrome P450 family 4 subfamily Z member 1	protein-coding
chr10	41846149	41846149	+	0	NA	Intergenic	Intergenic	1017344	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chr10	103482928	103482928	+	0	NA	Intergenic	Intergenic	-27876	NM_001323541	6468	Hs.500822	NM_022039	ENSG00000107829	FBXW4	DAC|FBW4|FBWD4|SHFM3|SHSF3	F-box and WD repeat domain containing 4	protein-coding
chr10	28244080	28244080	+	0	NA	"intron (NM_018076, intron 10 of 19)"	"intron (NM_018076, intron 10 of 19)"	26766	NM_001290021	55130	Hs.127530	NM_018076	ENSG00000169126	ARMC4	CILD23	armadillo repeat containing 4	protein-coding
chr1	77169676	77169676	+	0	NA	Intergenic	Intergenic	-163417	NM_001320273	81849	Hs.149201	NM_030965	ENSG00000117069	ST6GALNAC5	SIAT7-E|SIAT7E|ST6GalNAcV	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"	protein-coding
chr1	238580530	238580530	+	0	NA	Intergenic	Intergenic	68787	NR_015407	339535	Hs.532047	NR_015407	ENSG00000215808	LINC01139	LINKA	long intergenic non-protein coding RNA 1139	ncRNA
chr1	112841658	112841658	+	0	NA	Intergenic	Intergenic	-97142	NM_018704	55917	Hs.744100	NM_018704	ENSG00000143079	CTTNBP2NL	-	CTTNBP2 N-terminal like	protein-coding
chr10	36756504	36756504	+	0	NA	Intergenic	Intergenic	-658281	NM_052997	91074	Hs.373787	NM_052997	ENSG00000148513	ANKRD30A	NY-BR-1	ankyrin repeat domain 30A	protein-coding
chr10	58952280	58952280	+	0	NA	Intergenic	L1MA2|LINE|L1	112039	NR_037490	100500834		NR_037490	ENSG00000264747	MIR3924	-	microRNA 3924	ncRNA
chr10	32258937	32258937	+	0	NA	Intergenic	SVA_F|Other|Other	-41133	NM_001270696	94134	Hs.499264	NM_018287	ENSG00000165322	ARHGAP12	-	Rho GTPase activating protein 12	protein-coding
chr10	17760527	17760527	+	0	NA	Intergenic	L1PA3|LINE|L1	-33733	NM_001098844	653567	Hs.564139	NM_001013629	ENSG00000148483	TMEM236	FAM23A|FAM23B|bA162I21.2|bA16O1.2	transmembrane protein 236	protein-coding
chr10	125255590	125255590	+	0	NA	Intergenic	Intergenic	-170281	NM_153442	2849	Hs.12751	NM_153442	ENSG00000154478	GPR26	-	G protein-coupled receptor 26	protein-coding
chr10	107544335	107544335	+	0	NA	"intron (NR_120625, intron 3 of 3)"	"intron (NR_120625, intron 3 of 3)"	35756	NR_120625	101927549	Hs.556885	NR_120625		LOC101927549	-	uncharacterized LOC101927549	ncRNA
chr10	74532731	74532731	+	0	NA	"intron (NR_073062, intron 3 of 9)"	AluJb|SINE|Alu	51944	NR_039823	100616286		NR_039823	ENSG00000266719	MIR4676	-	microRNA 4676	ncRNA
chr1	44781657	44781657	+	0	NA	"intron (NM_001301701, intron 3 of 7)"	AluJo|SINE|Alu	39294	NM_001301699	79033	Hs.731413	NM_024066	ENSG00000117419	ERI3	PINT1|PRNPIP	ERI1 exoribonuclease family member 3	protein-coding
chr1	228755473	228755473	+	0	NA	promoter-TSS (NR_106988).6	promoter-TSS (NR_106988).6	-415	NR_106988	102465753		NR_106988	ENSG00000280494	MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
chr1	99235336	99235336	+	0	NA	Intergenic	Charlie2b|DNA|hAT-Charlie	108100	NM_015976	51375	Hs.197015	NM_015976	ENSG00000162627	SNX7	-	sorting nexin 7	protein-coding
chr1	42605740	42605740	+	0	NA	Intergenic	MIR|SINE|MIR	-13352	NM_007102	2981	Hs.32966	NM_007102	ENSG00000044012	GUCA2B	GCAP-II|UGN	guanylate cyclase activator 2B	protein-coding
chr10	109795775	109795775	+	0	NA	"intron (NR_125760, intron 4 of 4)"	"intron (NR_125760, intron 4 of 4)"	33276	NR_125760	103695365	Hs.648991	NR_125760	ENSG00000229981	LINC01435	TCONS_00018040	long intergenic non-protein coding RNA 1435	ncRNA
chr10	63582704	63582704	+	0	NA	Intergenic	Intergenic	-78309	NM_032199	84159	Hs.535297	NM_032199	ENSG00000150347	ARID5B	DESRT|MRF-2|MRF2	AT-rich interaction domain 5B	protein-coding
chr11	105894462	105894462	+	0	NA	Intergenic	L2a|LINE|L2	-1448	NM_001318749	84437	Hs.266782	NM_032424	ENSG00000170903	MSANTD4	KIAA1826	Myb/SANT DNA binding domain containing 4 with coiled-coils	protein-coding
chr10	51993962	51993962	+	0	NA	"intron (NM_019893, intron 5 of 19)"	"intron (NM_019893, intron 5 of 19)"	14408	NM_019893	56624	Hs.512645	NM_019893	ENSG00000188611	ASAH2	BCDase|HNAC1|LCDase|N-CDase|NCDase	N-acylsphingosine amidohydrolase 2	protein-coding
chr10	7974858	7974858	+	0	NA	"intron (NM_031923, intron 2 of 6)"	AluJb|SINE|Alu	114391	NM_031923	83860	Hs.527688	NM_031923	ENSG00000165632	TAF3	TAF140|TAFII-140|TAFII140	TATA-box binding protein associated factor 3	protein-coding
chr10	126319967	126319967	+	0	NA	"intron (NM_014661, intron 4 of 4)"	"intron (NM_014661, intron 4 of 4)"	-72630	NR_120630	101927944	Hs.437448	NR_120630		FAM53B-AS1	-	FAM53B antisense RNA 1	ncRNA
chr10	115723811	115723811	+	0	NA	Intergenic	Intergenic	-79995	NM_000684	153	Hs.99913	NM_000684	ENSG00000043591	ADRB1	ADRB1R|B1AR|BETA1AR|RHR	adrenoceptor beta 1	protein-coding
chr10	43305539	43305539	+	0	NA	"intron (NM_014753, intron 13 of 22)"	AluJr|SINE|Alu	27585	NM_014753	9790	Hs.10848	NM_014753	ENSG00000165733	BMS1	ACC|BMS1L	"BMS1, ribosome biogenesis factor"	protein-coding
chr10	133364352	133364352	+	0	NA	Intergenic	Intergenic	-254368	NM_174937	256536	Hs.126575	NM_174937	ENSG00000176769	TCERG1L	-	transcription elongation regulator 1 like	protein-coding
chr1	209073161	209073161	+	0	NA	Intergenic	L2|LINE|L2	-425640	NR_135085	105372897	Hs.116154	NR_135085	ENSG00000227940	LINC01696	-	long intergenic non-protein coding RNA 1696	ncRNA
chr1	35937800	35937800	+	0	NA	"intron (NM_024874, intron 5 of 20)"	"intron (NM_024874, intron 5 of 20)"	85237	NM_024874	79932	Hs.456507	NM_024874	ENSG00000142687	KIAA0319L	AAVR	KIAA0319 like	protein-coding
chr10	109186098	109186098	+	0	NA	Intergenic	Intergenic	-261632	NM_052918	114815	Hs.591915	NM_052918	ENSG00000108018	SORCS1	hSorCS	sortilin related VPS10 domain containing receptor 1	protein-coding
chr1	179836136	179836136	+	0	NA	"intron (NM_022347, intron 2 of 2)"	"intron (NM_022347, intron 2 of 2)"	10805	NM_022347	163590	Hs.571797	NM_022347	ENSG00000169905	TOR1AIP2	IFRG15|LULL1|NET9	torsin 1A interacting protein 2	protein-coding
chr10	79162675	79162675	+	0	NA	"intron (NM_001271518, intron 1 of 27)"	"intron (NM_001271518, intron 1 of 27)"	52045	NR_126365	101929286	Hs.568867	NR_126365		KCNMA1-AS3	-	KCNMA1 antisense RNA 3	ncRNA
chr1	51893670	51893670	+	0	NA	"intron (NM_001981, intron 12 of 24)"	L1M4c|LINE|L1	-5877	NM_001159969	2060	Hs.83722	NM_001981	ENSG00000085832	EPS15	AF-1P|AF1P|MLLT5	epidermal growth factor receptor pathway substrate 15	protein-coding
chr1	54542264	54542264	+	0	NA	"intron (NM_153035, intron 3 of 4)"	"intron (NM_153035, intron 3 of 4)"	22512	NR_039942	100616315		NR_039942	ENSG00000116205	MIR4781	mir-4781	microRNA 4781	ncRNA
chr1	220943625	220943625	+	0	NA	"intron (NM_001331042, intron 4 of 4)"	"intron (NM_001331042, intron 4 of 4)"	-16414	NM_022746	64757	Hs.497816	NM_022746	ENSG00000186205	1-Mar	MOSC1	mitochondrial amidoxime reducing component 1	protein-coding
chr10	3269342	3269342	+	0	NA	Intergenic	Intergenic	-54309	NM_001347728	10531	Hs.528300	NM_014889	ENSG00000107959	PITRM1	MP1|PreP	pitrilysin metallopeptidase 1	protein-coding
chr1	46005091	46005091	+	0	NA	Intergenic	AluSx1|SINE|Alu	-11364	NM_153326	10327	Hs.474584	NM_006066	ENSG00000117448	AKR1A1	ALDR1|ALR|ARM|DD3|HEL-S-6	aldo-keto reductase family 1 member A1	protein-coding
chr1	171840913	171840913	+	0	NA	"intron (NM_015569, intron 1 of 20)"	"intron (NM_015569, intron 1 of 20)"	7581	NR_046845	100874284		NR_046845	ENSG00000233540	DNM3-IT1	-	DNM3 intronic transcript 1	ncRNA
